,BST,LLRBT,BF
42000,1.8248497607634473e-06,2.6552105550710257e-06,1.2571490176921397e-06
43000,1.845078098636683e-06,2.6530529544721885e-06,1.2322555788610855e-06
44000,1.8677180048980913e-06,2.6484964325014133e-06,1.2209624175098122e-06
45000,1.8342715690748805e-06,2.6555053898829927e-06,1.2280383047558543e-06
46000,1.8171756105063838e-06,2.657819751937499e-06,1.2337926608491749e-06
47000,1.8294189936475118e-06,2.6581671213742783e-06,1.226152812575759e-06
48000,1.8623567756891572e-06,2.6488710762681807e-06,1.2248452718109495e-06
49000,1.8566937427998866e-06,2.65432689356507e-06,1.2245740681745015e-06
50000,1.8835464544621115e-06,2.6515248497646905e-06,1.2238607633727404e-06
51000,1.870460719005277e-06,2.663147161202166e-06,1.2594333072368403e-06
52000,1.9003784890578035e-06,2.662165650302585e-06,1.2685569488882882e-06
53000,1.9037361611984523e-06,2.679695990249839e-06,1.2392105580555934e-06
54000,1.9048918299102155e-06,2.670785645656847e-06,1.2602439599681412e-06
55000,1.9028595033208635e-06,2.686744100679456e-06,1.231685713745861e-06
56000,1.9232921047425553e-06,2.6802941198438103e-06,1.248652176498677e-06
57000,1.9123414546072016e-06,2.6981705845132192e-06,1.2773211828978587e-06
58000,1.9256429658170363e-06,2.6915815851560427e-06,1.2577129511159858e-06
59000,1.918094679978243e-06,2.681943776173977e-06,1.2310259337176714e-06
60000,1.885991543245159e-06,2.710585886513734e-06,1.226557268663525e-06
61000,1.9094544093217724e-06,2.7095813476268303e-06,1.2360762899539187e-06
62000,1.9362635007650746e-06,2.719260395256798e-06,1.2643674572224236e-06
63000,1.945724826593345e-06,2.7362528748455658e-06,1.2890758696078856e-06
64000,1.957660800493325e-06,2.702951387190558e-06,1.264883339038812e-06
65000,1.9503414133290303e-06,2.741522206288134e-06,1.2660219094099248e-06
66000,1.9368937424628357e-06,2.7249690511542725e-06,1.2597148570843787e-06
67000,1.9579369073341597e-06,2.715151483910977e-06,1.2764573233447302e-06
68000,2.0142648181124517e-06,2.7429302417846315e-06,1.2692748149173993e-06
69000,1.9740335911107035e-06,2.7501015856073958e-06,1.2579109384401451e-06
70000,1.954634362505213e-06,2.7485422311507575e-06,1.2490479032264236e-06
71000,1.959468939410225e-06,2.7426588776387825e-06,1.2896148744904148e-06
72000,1.9714874591036506e-06,2.7336974557850004e-06,1.2770145460443077e-06
73000,1.9582295451097993e-06,2.7553098820721763e-06,1.266947108601998e-06
74000,1.9783951933271193e-06,2.7652923671023736e-06,1.2479348088665924e-06
75000,1.9514484773404306e-06,2.7821296499465473e-06,1.2283512934878152e-06
76000,1.9591273191748358e-06,2.778316237942062e-06,1.2273153806358964e-06
77000,1.980982989280869e-06,2.779496725803385e-06,1.2289845357912632e-06
78000,1.9862223305130386e-06,2.7585525062879675e-06,1.2350798787723673e-06
79000,2.0418478587965047e-06,2.757404552250996e-06,1.247567313391124e-06
80000,1.9817418853978952e-06,2.7672756181978644e-06,1.253789106087519e-06
81000,1.993282433141874e-06,2.7737380252215237e-06,1.2850434696176683e-06
82000,1.9767502986054657e-06,2.768370530522998e-06,1.2767829458023383e-06
83000,1.9869006033711996e-06,2.8021313950621933e-06,1.232262649453566e-06
84000,1.988825803225767e-06,2.817285910633652e-06,1.2708824249408937e-06
85000,2.0019949754565767e-06,2.8090636018575966e-06,1.2747955117500612e-06
86000,2.022055309059582e-06,2.7685115564343977e-06,1.2453595254896744e-06
87000,2.022439696871597e-06,2.7560746245141156e-06,1.2743729538822982e-06
88000,2.023721559710432e-06,2.7590498554026226e-06,1.26572453609577e-06
89000,2.0359315814325572e-06,2.774130902651809e-06,1.2745072036388454e-06
90000,2.03438086432418e-06,2.779430412928882e-06,1.230357760683558e-06
91000,2.025876238424754e-06,2.769929368691435e-06,1.2276106085425437e-06
92000,2.0079472892258234e-06,2.7789887815347144e-06,1.283242307747961e-06
93000,2.0454540751444895e-06,2.7828056020636834e-06,1.2729528295742354e-06
94000,2.0324133891558964e-06,2.7977337191245985e-06,1.2450853350493035e-06
95000,2.0034177077868226e-06,2.806523182247231e-06,1.2945945943218526e-06
96000,2.008089649307725e-06,2.7967507799980516e-06,1.2416811729452132e-06
97000,2.004080701070097e-06,2.8063515532248837e-06,1.2315153652204892e-06
98000,2.0048028717159866e-06,2.7998150286848767e-06,1.2349505434660882e-06
99000,2.0372969628335983e-06,2.7906537557576454e-06,1.2733226396566117e-06
