,BST
0,2.5690597302596505e-07
2093,1.2548473116796499e-05
4186,1.2846036873962902e-05
6279,3.541292592780579e-05
8372,4.2314361994487976e-05
10465,5.064872093498707e-05
12558,5.8737818531931264e-05
14651,5.251788384699767e-05
16744,5.138959114038206e-05
18837,6.609862945854254e-05
20930,7.092767937638617e-05
23023,7.943084128115565e-05
25116,0.00010001080189703391
27209,0.00010994283819929995
29302,0.00013009762496115008
31395,0.00015789272910872595
33488,0.00016001284415107392
35581,0.00016858879756609645
37674,0.0001938871069546413
39767,0.00022722071692467147
41860,0.0002598889909018207
43953,0.0002817101427353919
46046,0.0003174458152973392
48139,0.00032952569100424785
50232,0.00035574904337542455
52325,0.00037178349085237593
54418,0.0004009767793281294
56511,0.0004082896026842501
58604,0.0004307419711023296
60697,0.00044196721448332344
62790,0.00044988900329063244
64883,0.00046681598322295133
66976,0.000469153272329804
69069,0.000473012759375873
71162,0.0005037049675326145
73255,0.0005224303310361067
75348,0.0005150267938707332
77441,0.0005162463349358546
79534,0.0005035216503545915
81627,0.0005085626681155842
83720,0.000523095932861773
85813,0.0005699298908472608
87906,0.000565853097087302
89999,0.0005374559710750681
92092,0.0005472776199127077
94185,0.0005522311137510686
96278,0.0005712167491256302
98371,0.0005782769133183045
100464,0.0005941426291754213
102557,0.0006042277451109039
104650,0.0006101161446593223
106743,0.0006140979650908859
108836,0.0006313402941578641
110929,0.0006354839169343404
113022,0.000635560332912815
115115,0.000715606074049693
117208,0.0007033710929761649
119301,0.0007059206023017679
121394,0.0007613685070707916
123487,0.0007525716484267982
125580,0.0006520066674106643
127673,0.0007228607093966609
129766,0.0007822772120595525
131859,0.0007179845625389402
133952,0.0007048799059302504
136045,0.0007333613316947167
138138,0.0008553542769214976
140231,0.0009372373721391441
142324,0.0009266296663287377
144417,0.0008102845698552325
146510,0.0007613658132843263
148603,0.0008336054080020671
150696,0.0007898573634436849
152789,0.000792105415079811
154882,0.0008210668122447138
156975,0.000797483175480311
159068,0.0008203876855219245
161161,0.0008098770984995324
163254,0.0008184331608081766
165347,0.0008974369130430555
167440,0.0008273276867806365
169533,0.0007813798290369775
171626,0.000852970969585548
173719,0.0008165801427788486
175812,0.0008014594651160573
177905,0.0008376193360997996
179998,0.0008489320340882475
182091,0.0008160654641260657
184184,0.0008070146145914262
186277,0.0009831873799349532
188370,0.0008950360855215801
190463,0.0009908197854577197
192556,0.0010285996333183293
194649,0.0009432796728498209
196742,0.0009130221983810904
198835,0.0008333516033759358
200928,0.0009155052626471317
203021,0.0010039480745903464
205114,0.0008522622441069795
207207,0.000843996268594552
209300,0.0008629621853496572
