,BST,LLRBT,BF
54,7.833004929125309e-06,3.320799442008138e-05,2.529201447032392e-05
55,8.083006832748652e-06,2.2082997020334005e-05,2.487501478753984e-05
56,6.95799826644361e-06,3.0166993383318186e-05,2.5958986952900887e-05
57,7.916998583823442e-06,2.6749999960884452e-05,2.5165994884446263e-05
58,4.416011506691575e-06,2.941599814221263e-05,2.5667017325758934e-05
59,7.458002073690295e-06,2.8457987355068326e-05,2.5040993932634592e-05
60,6.290996680036187e-06,2.8582988306879997e-05,2.6583002181723714e-05
61,6.9160014390945435e-06,3.066699719056487e-05,2.470900653861463e-05
62,8.37500556372106e-06,3.895899862982333e-05,2.529201447032392e-05
63,9.292009053751826e-06,4.170800093561411e-05,2.5582994567230344e-05
64,8.332979632541537e-06,2.9082992114126682e-05,2.5250017642974854e-05
65,5.374982720240951e-06,2.6374997105449438e-05,2.5333021767437458e-05
66,8.625007467344403e-06,3.487500362098217e-05,2.5249988539144397e-05
67,8.54101381264627e-06,2.7750007575377822e-05,2.433298504911363e-05
68,1.4833000022917986e-05,3.037499845959246e-05,0.00012549999519251287
69,6.791000487282872e-06,3.462500171735883e-05,2.7457979740574956e-05
70,8.041010005399585e-06,2.8667011065408587e-05,2.4999986635521054e-05
71,6.832997314631939e-06,2.5874993298202753e-05,2.400000812485814e-05
72,6.999995093792677e-06,2.6833004085347056e-05,2.516701351851225e-05
73,7.833004929125309e-06,3.9207981899380684e-05,2.5416986318305135e-05
74,6.499991286545992e-06,3.504200140014291e-05,2.479099202901125e-05
75,5.792011506855488e-06,3.0208990210667253e-05,2.4957989808171988e-05
76,7.916998583823442e-06,3.183400258421898e-05,2.4708017008379102e-05
77,7.875001756474376e-06,3.070800448767841e-05,2.5582994567230344e-05
78,8.291011909022927e-06,3.137500607408583e-05,2.633300027810037e-05
79,7.2499969974160194e-06,2.750000567175448e-05,2.4833017960190773e-05
80,8.95801349543035e-06,3.095899592153728e-05,2.5582994567230344e-05
81,4.3339969124644995e-06,4.195800283923745e-05,2.516701351851225e-05
82,7.415976142510772e-06,2.8458016458898783e-05,2.5040993932634592e-05
83,8.749979315325618e-06,3.1208008294925094e-05,2.4582986952736974e-05
84,6.667018169537187e-06,3.137500607408583e-05,2.6124995201826096e-05
85,8.000002708286047e-06,3.295802162028849e-05,2.5042012566700578e-05
86,7.458002073690295e-06,3.0665978556498885e-05,2.5124987587332726e-05
87,8.37500556372106e-06,3.433300298638642e-05,2.4042004952207208e-05
88,8.833012543618679e-06,2.9916001949459314e-05,2.4792010663077235e-05
89,7.790978997945786e-06,3.333299537189305e-05,2.5415996788069606e-05
90,9.457988198846579e-06,3.416600520722568e-05,2.479198155924678e-05
91,7.791997632011771e-06,3.137500607408583e-05,2.433298504911363e-05
92,8.665985660627484e-06,3.041699528694153e-05,2.441700780764222e-05
93,8.58298153616488e-06,3.891700180247426e-05,2.475001383572817e-05
94,9.749986929818988e-06,3.5792007111012936e-05,2.4415989173576236e-05
95,9.499985026195645e-06,4.149999585933983e-05,2.5457993615418673e-05
