,LS,BST,LLRBT,BF
4347,3.7031200470898404e-05,1.2494486312322113e-06,1.6171786477020301e-06,2.627768446990383e-06
4536,3.82844653085233e-05,1.1909016997579041e-06,1.7875244300556155e-06,2.5305651190237853e-06
4725,3.9512782310639775e-05,1.224853950680806e-06,1.6536223467165997e-06,2.7306121400207143e-06
4914,3.98698919388645e-05,1.08833183906118e-06,1.7565368661879125e-06,2.5100325375214355e-06
5103,4.123625578892785e-05,1.1268412638797399e-06,1.6681723501704154e-06,2.6257510015040362e-06
5292,4.2456759192228934e-05,1.1564835953022088e-06,1.74317240860279e-06,2.5839693769556256e-06
5481,4.437240009909547e-05,1.149998701160449e-06,1.7023724375651517e-06,2.634036883395678e-06
5670,5.24598325243852e-05,1.2099760885717808e-06,1.7042286798716821e-06,2.604073587454719e-06
5859,4.5722942903996744e-05,1.2023561503823607e-06,1.8190594930458097e-06,2.485802749581977e-06
6048,4.5506513844150194e-05,1.2196841972256336e-06,1.758319836263673e-06,2.6689610580717206e-06
6237,4.6005009362738955e-05,1.1254564288644752e-06,1.6948628910056768e-06,2.569111770044568e-06
6426,4.754940278020713e-05,1.1300461509888736e-06,1.6736613859960792e-06,2.674083011822963e-06
6615,4.97408866734936e-05,1.2007671186204897e-06,1.758805651286053e-06,2.5474702898805978e-06
6804,4.868232383960943e-05,1.2330953864842107e-06,1.7352354095462676e-06,2.7669399790893044e-06
6993,5.091088900872327e-05,1.2662298678326498e-06,1.8641438629956694e-06,2.6456500647094e-06
7182,5.03786781924529e-05,1.262004034371551e-06,1.7826752512878097e-06,2.606632540412589e-06
7371,7.217217080290814e-05,1.197660858785614e-06,1.8368343023771267e-06,2.7096185004424066e-06
7560,5.2353729410609656e-05,1.3068951068258067e-06,1.8432968052599681e-06,2.7018512541496562e-06
7749,5.23651982048834e-05,1.209502785526421e-06,1.771084034020816e-06,2.5461806110405457e-06
7938,5.337749876470707e-05,1.2881794320675758e-06,1.8894102973350827e-06,2.6383322616611874e-06
8127,5.3781926212191517e-05,1.2260301245820768e-06,1.8825689693827422e-06,2.8635850475263705e-06
8316,5.494713226286267e-05,1.242988595499768e-06,1.7949555778380382e-06,2.6385581180658364e-06
8505,5.6183937309019334e-05,1.2379885574273014e-06,1.7636591822780463e-06,2.6509462409319543e-06
8694,5.635650461078237e-05,1.2652653668913136e-06,1.865802877454446e-06,2.586989889963778e-06
8883,5.746200568055512e-05,1.1617889245459382e-06,1.7659008767831763e-06,2.5919560821504767e-06
9072,5.6604583733800557e-05,1.2396955905362553e-06,1.7809762711286408e-06,2.5329754982622117e-06
9261,5.9004494805025674e-05,1.2534289618680646e-06,1.8350440803744377e-06,2.5935644559442587e-06
9450,5.8364999222082144e-05,1.1609408869878003e-06,1.8459308514405691e-06,2.62864786328389e-06
9639,5.9255021480082986e-05,1.2142119081178252e-06,1.7439767690546333e-06,2.733610614220005e-06
9828,5.9336954701068136e-05,1.260917842037839e-06,1.920280767681607e-06,2.6577307122819332e-06
10017,5.993819335227781e-05,1.2781124117724393e-06,1.8973758875674336e-06,2.5606141297505538e-06
10206,6.0989937772803484e-05,1.1987223635948852e-06,1.8265152749511491e-06,2.704345917013055e-06
10395,6.158094608049772e-05,1.1915966565079918e-06,1.914300539300119e-06,2.6942341088599295e-06
10584,6.374261376166016e-05,1.3232413079128217e-06,1.897614907447693e-06,2.598393833427049e-06
10773,6.232310366846724e-05,1.2059290006910579e-06,1.9596031238965757e-06,2.612721040383528e-06
10962,6.236863853901181e-05,1.2152009150184213e-06,1.9796883821948814e-06,2.6377832886566398e-06
11151,6.364445039177946e-05,1.1818959493053343e-06,1.945298377620996e-06,2.6926098961741963e-06
11340,6.37198023555732e-05,1.3175378382684441e-06,1.9510137291044135e-06,2.64156549429914e-06
11529,6.508654400539678e-05,1.2905811388985416e-06,1.970820135325877e-06,2.785263510438007e-06
11718,6.701483153588558e-05,1.185908112589509e-06,1.8224610366063928e-06,2.675015402428054e-06
11907,6.591906881604958e-05,1.2032114612280365e-06,1.7849379272516305e-06,2.606691752022149e-06
12096,6.608521322283997e-05,1.3238131421096964e-06,1.8397933929526341e-06,2.5424090002603623e-06
12285,6.863572553586249e-05,1.2022187856427574e-06,1.7483484634377678e-06,2.7650451755424567e-06
12474,6.845832070754414e-05,1.239680584708075e-06,1.8133873754360398e-06,2.6629249182948415e-06
12663,6.857728626186011e-05,1.1920558028093992e-06,1.9650685028472078e-06,2.6479210926715387e-06
12852,6.992133739062611e-05,1.1895782658146746e-06,1.8024383595537976e-06,2.781706242693947e-06
13041,6.993439735272266e-05,1.180023083104453e-06,1.9402518855629984e-06,2.5898469996493343e-06
13230,6.957091539542815e-05,1.320910710550913e-06,1.9147498917620665e-06,2.6110697477850894e-06
13419,7.918551538583882e-05,1.265779559483427e-06,1.9760322575500113e-06,2.7049464278281967e-06
13608,7.283323907951286e-05,1.1673010031291104e-06,1.8738996485299474e-06,2.6423918454984732e-06
13797,7.167808999897007e-05,1.2769354849096833e-06,1.8240507145267014e-06,2.790406413607026e-06
13986,7.032525961163428e-05,1.1795326808911808e-06,1.886795230056031e-06,2.688252299793338e-06
14175,6.624685612682322e-05,1.2225746615029392e-06,1.910720389003122e-06,2.68162861509129e-06
14364,6.640915821921593e-05,1.2193955406290266e-06,1.8584542884277777e-06,2.6235589490554064e-06
14553,6.701555164475336e-05,1.281018640179563e-06,1.9118808254753368e-06,2.838763122130698e-06
14742,6.749038188825063e-05,1.165694306143175e-06,1.8153499722173182e-06,2.70635417209716e-06
14931,6.816791328857866e-05,1.2115389482468504e-06,1.910261552430553e-06,2.7182727140041257e-06
15120,6.885141427970465e-05,1.2326064261120803e-06,1.960658199162385e-06,2.7096530512282882e-06
15309,6.923487782157923e-05,1.1704286876553242e-06,1.8773165717293774e-06,2.6905033021840618e-06
15498,7.532913582249963e-05,1.160237289871166e-06,1.899111917703797e-06,2.6721005176339265e-06
15687,6.879666398830472e-05,1.2387174561858997e-06,1.8143979832530021e-06,2.6021799160201753e-06
15876,6.981656642058232e-05,1.2787225508823172e-06,1.8430438582623088e-06,2.648555593556562e-06
16065,6.96176541018633e-05,1.2934801367393464e-06,1.9527392444807454e-06,2.5837696071953403e-06
16254,6.977850193725984e-05,1.213326617656703e-06,1.8785009694653094e-06,2.6001680456529105e-06
16443,7.04567145541259e-05,1.3524080293441037e-06,1.9110566637384783e-06,2.6808512384294097e-06
16632,7.216755734914657e-05,1.1961604735532075e-06,1.7997249480285638e-06,2.6535167499795692e-06
16821,7.162332741453936e-05,1.3103199975325838e-06,1.8527310495392992e-06,2.623768197586162e-06
17010,7.207466217308998e-05,1.191747163362596e-06,1.8606431634857431e-06,2.747576826875773e-06
17199,7.359625410113415e-05,1.1411089227970588e-06,1.8352884831282934e-06,2.666153585102512e-06
17388,7.294321619615027e-05,1.2491803259563145e-06,1.9693109869034193e-06,2.6192728199338147e-06
17577,7.319221005522979e-05,1.2319647480622618e-06,1.806612639183845e-06,2.5947166685818123e-06
17766,7.466524795611996e-05,1.1479366974426656e-06,1.830473358512198e-06,2.6408784516548753e-06
17955,7.333026964478024e-05,1.2877082277021004e-06,1.8368258382356084e-06,2.729861800550321e-06
18144,7.374376714349203e-05,1.2999942949161344e-06,2.026198877218188e-06,2.7230054347288854e-06
18333,7.414269732063585e-05,1.2409010925543828e-06,1.9510921118610087e-06,2.7810768790355106e-06
18522,7.467279263554192e-05,1.1832257593905024e-06,1.9584796946803362e-06,2.6756014681310145e-06
18711,7.514075554454476e-05,1.216237251689538e-06,1.924473817947261e-06,2.710866947965953e-06
18900,7.564219969235052e-05,1.2676668601161843e-06,1.928041824737752e-06,2.6725133487937647e-06
